zincid;molecular_formula;binding_energy;charge;2D;binding_energy AD4;standard deviation
ZINC000084713216;C34H5BRN7O4;-10,4;0;img/ZINC000084713216.jpg;-4,95;0,53
ZINC000072402768;C25H2FN7O2;-10,9;0;img/ZINC000072402768.jpg;-5,73;0,16
ZINC000729112845;C21N6O6;-10,4;0;img/ZINC000729112845.jpg;-5,99;0,25
ZINC000507115517;C20HN6O6S;-10,3;0;img/ZINC000507115517.jpg;-2,6;0,13
ZINC000016606140;C22H2N6O4;-10,5;0;img/ZINC000016606140.jpg;-5,07;0,18
ZINC000302906222;C19H3F3N7O;-10,1;0;img/ZINC000302906222.jpg;-4,71;0,31
ZINC000027101107;C25H3N6O5;-10,8;0;img/ZINC000027101107.jpg;-4,57;0,2
ZINC000110976743;C19H4N8O4;-10,2;0;img/ZINC000110976743.jpg;-5,03;0,26
ZINC000026638967;C21H4CLN6O4;-10,1;0;img/ZINC000026638967.jpg;-5,5;0,1
ZINC001186318621;C17H3FN5O8P;-11,6;-1;img/ZINC001186318621.jpg;-4,19;0,13
ZINC001147144045;C16H3N6O8P;-11,5;-1;img/ZINC001147144045.jpg;-3,04;0,15
ZINC000012660654;C24H2FN5O5;-10,2;0;img/ZINC000012660654.jpg;-5,66;0,22
ZINC000751536097;C18H3N6O6S;-10,2;0;img/ZINC000751536097.jpg;-2,81;0,33
ZINC001142385238;C22N6O5;-10,3;0;img/ZINC001142385238.jpg;-5,14;0,2
ZINC001202442717;C18H3N6O8P;-11,4;-1;img/ZINC001202442717.jpg;-4,32;0,09
ZINC000095477514;C26H2FN8O2;-11,9;0;img/ZINC000095477514.jpg;-5,92;0,08
ZINC000043013961;C22HN6O4S;-10,3;0;img/ZINC000043013961.jpg;-4,41;0,1
ZINC000013611544;C20H4CL2N6O3;-10,3;0;img/ZINC000013611544.jpg;-4,95;0,33
ZINC000101731602;C25H2CL2N7O2;-11,3;0;img/ZINC000101731602.jpg;-6,53;0,08
ZINC000498897650;C19HN8O3;-10,2;0;img/ZINC000498897650.jpg;-5,93;0,07
ZINC000502382900;C22FN6O4;-10,5;0;img/ZINC000502382900.jpg;-4,7;0,12
ZINC000009153025;C24HN6O3;-11,2;0;img/ZINC000009153025.jpg;-6,74;0,08
ZINC000029128151;C29CLN5O3;-12,1;0;img/ZINC000029128151.jpg;-7,79;0,12
ZINC000749557568;C23N6O5S;-10,1;0;img/ZINC000749557568.jpg;-5,1;0,11
ZINC000534218176;C20H2N7O3;-10,4;0;img/ZINC000534218176.jpg;-5,61;0,18
ZINC000009669781;C20HN7O4S;-10,2;0;img/ZINC000009669781.jpg;-5,12;0,14
ZINC000049683149;C31H2N6O9;-10,6;0;img/ZINC000049683149.jpg;-5,04;0,46
ZINC000096900390;C16H2N8O19P3;-10,9;-5;img/ZINC000096900390.jpg;-5,13;0,09
